student_id,grade,subject,score,study_hours_per_day,attendance_percentage,passed,grade_letter
STU0036,Grade_12,English,92.6,6.6,82.1,True,A
STU0036,Grade_12,History,100.0,6.6,82.1,True,A
STU0036,Grade_12,Computer_Science,85.8,6.6,82.1,True,A
STU0037,Grade_12,Math,59.3,1.0,66.7,True,C
STU0037,Grade_12,Science,65.3,1.0,66.7,True,B
STU0037,Grade_12,English,71.4,1.0,66.7,True,B
STU0037,Grade_12,History,68.3,1.0,66.7,True,B
STU0037,Grade_12,Computer_Science,70.2,1.0,66.7,True,B
STU0038,Grade_9,Math,80.0,6.0,72.7,True,A
STU0038,Grade_9,Science,92.3,6.0,72.7,True,A
STU0038,Grade_9,English,98.1,6.0,72.7,True,A
STU0038,Grade_9,History,100.0,6.0,72.7,True,A
STU0038,Grade_9,Computer_Science,98.6,6.0,72.7,True,A
STU0039,Grade_10,Math,91.0,6.9,74.8,True,A
STU0039,Grade_10,Science,86.7,6.9,74.8,True,A
STU0039,Grade_10,English,100.0,6.9,74.8,True,A
STU0039,Grade_10,History,100.0,6.9,74.8,True,A
STU0039,Grade_10,Computer_Science,98.3,6.9,74.8,True,A
STU0040,Grade_11,Math,86.5,5.6,65.2,True,A
STU0040,Grade_11,Science,77.5,5.6,65.2,True,B
STU0040,Grade_11,English,,5.6,65.2,True,A
STU0040,Grade_11,History,90.7,5.6,65.2,True,A
STU0040,Grade_11,Computer_Science,81.6,5.6,65.2,True,A
STU0041,Grade_10,Math,77.7,5.8,99.2,True,B
STU0041,Grade_10,Science,71.7,5.8,99.2,True,B
STU0041,Grade_10,English,77.1,5.8,99.2,True,B
STU0041,Grade_10,History,86.2,5.8,99.2,True,A
STU0041,Grade_10,Computer_Science,83.3,5.8,99.2,True,A
STU0042,Grade_9,Math,66.8,6.7,63.6,True,B
STU0042,Grade_9,Science,69.4,6.7,63.6,True,B
STU0042,Grade_9,English,87.4,6.7,63.6,True,A
STU0042,Grade_9,History,83.0,6.7,63.6,True,A
STU0042,Grade_9,Computer_Science,84.0,6.7,63.6,True,A
STU0043,Grade_11,Math,82.8,6.7,89.2,True,A
STU0043,Grade_11,Science,98.8,6.7,89.2,True,A
STU0043,Grade_11,English,95.8,6.7,89.2,True,A
STU0043,Grade_11,History,100.0,6.7,89.2,True,A
STU0043,Grade_11,Computer_Science,100.0,6.7,89.2,True,A
STU0044,Grade_12,Math,60.0,3.0,79.9,True,C
STU0044,Grade_12,Science,58.1,3.0,79.9,True,C
STU0044,Grade_12,English,62.5,3.0,79.9,True,C
STU0044,Grade_12,History,70.8,3.0,79.9,True,B
STU0044,Grade_12,Computer_Science,61.5,3.0,79.9,True,C
STU0045,Grade_11,Math,72.1,6.0,72.6,True,B
STU0045,Grade_11,Science,,6.0,72.6,True,B
STU0045,Grade_11,English,77.2,6.0,72.6,True,B
STU0045,Grade_11,History,88.5,6.0,72.6,True,A
STU0045,Grade_11,Computer_Science,73.4,6.0,72.6,True,B
STU0046,Grade_11,Math,52.9,1.0,64.5,True,C
STU0046,Grade_11,Science,50.6,1.0,64.5,True,C
STU0046,Grade_11,English,58.1,1.0,64.5,True,C
STU0046,Grade_11,History,56.2,1.0,64.5,True,C
STU0046,Grade_11,Computer_Science,43.4,1.0,64.5,True,D
STU0047,Grade_9,Math,59.5,4.4,77.1,True,C
STU0047,Grade_9,Science,65.6,4.4,77.1,True,B
STU0047,Grade_9,English,72.0,4.4,77.1,True,B
STU0047,Grade_9,History,69.3,4.4,77.1,True,B
STU0047,Grade_9,Computer_Science,66.2,4.4,77.1,True,B
STU0048,Grade_9,Math,67.1,5.6,69.3,True,B
STU0048,Grade_9,Science,68.4,5.6,69.3,True,B
STU0048,Grade_9,English,78.5,5.6,69.3,True,B
STU0048,Grade_9,History,87.4,5.6,69.3,True,A
STU0048,Grade_9,Computer_Science,74.0,5.6,69.3,True,B
STU0049,Grade_10,Math,57.9,2.0,82.2,True,C
STU0049,Grade_10,Science,66.4,2.0,82.2,True,B
STU0049,Grade_10,English,78.6,2.0,82.2,True,B
STU0049,Grade_10,History,80.7,2.0,82.2,True,A
STU0049,Grade_10,Computer_Science,71.6,2.0,82.2,True,B
STU0050,Grade_10,Math,60.0,5.2,91.7,True,C
STU0050,Grade_10,Science,78.5,5.2,91.7,True,B
STU0050,Grade_10,English,84.3,5.2,91.7,True,A
STU0050,Grade_10,History,90.0,5.2,91.7,True,A
STU0050,Grade_10,Computer_Science,69.5,5.2,91.7,True,B
STU0051,Grade_11,Math,86.3,6.3,91.2,True,A
STU0051,Grade_11,Science,96.9,6.3,91.2,True,A
STU0051,Grade_11,English,97.0,6.3,91.2,True,A
STU0051,Grade_11,History,100.0,6.3,91.2,True,A
STU0051,Grade_11,Computer_Science,94.3,6.3,91.2,True,A
STU0052,Grade_12,Math,76.8,4.4,97.0,True,B
STU0052,Grade_12,Science,77.6,4.4,97.0,True,B
STU0052,Grade_12,English,92.4,4.4,97.0,True,A
STU0052,Grade_12,History,93.2,4.4,97.0,True,A
STU0052,Grade_12,Computer_Science,88.1,4.4,97.0,True,A
STU0053,Grade_9,Math,81.3,4.7,93.4,True,A
STU0053,Grade_9,Science,94.3,4.7,93.4,True,A
STU0053,Grade_9,English,90.0,4.7,93.4,True,A
STU0053,Grade_9,History,100.0,4.7,93.4,True,A
STU0053,Grade_9,Computer_Science,88.2,4.7,93.4,True,A
STU0054,Grade_10,Math,76.0,4.8,83.3,True,B
STU0054,Grade_10,Science,78.5,4.8,83.3,True,B
STU0054,Grade_10,English,79.3,4.8,83.3,True,B
STU0054,Grade_10,History,87.2,4.8,83.3,True,A
STU0054,Grade_10,Computer_Science,88.4,4.8,83.3,True,A
STU0055,Grade_9,Math,75.0,5.2,86.0,True,B
STU0055,Grade_9,Science,62.9,5.2,86.0,True,C
STU0055,Grade_9,English,70.5,5.2,86.0,True,B
STU0055,Grade_9,History,89.3,5.2,86.0,True,A
STU0055,Grade_9,Computer_Science,72.5,5.2,86.0,True,B
STU0056,Grade_9,Math,89.3,7.5,88.9,True,A
STU0056,Grade_9,Science,86.3,7.5,88.9,True,A
STU0056,Grade_9,English,95.3,7.5,88.9,True,A
STU0056,Grade_9,History,100.0,7.5,88.9,True,A
STU0056,Grade_9,Computer_Science,96.9,7.5,88.9,True,A
STU0057,Grade_11,Math,92.7,7.9,85.1,True,A
STU0057,Grade_11,Science,85.2,7.9,85.1,True,A
STU0057,Grade_11,English,100.0,7.9,85.1,True,A
STU0057,Grade_11,History,100.0,7.9,85.1,True,A
STU0057,Grade_11,Computer_Science,100.0,7.9,85.1,True,A
STU0058,Grade_9,Math,62.5,3.0,74.6,True,C
STU0058,Grade_9,Science,60.6,3.0,74.6,True,C
STU0058,Grade_9,English,77.2,3.0,74.6,True,B
STU0058,Grade_9,History,76.4,3.0,74.6,True,B
STU0058,Grade_9,Computer_Science,61.5,3.0,74.6,True,C
STU0059,Grade_10,Math,65.3,3.0,76.9,True,B
STU0059,Grade_10,Science,78.8,3.0,76.9,True,B
STU0059,Grade_10,English,80.2,3.0,76.9,True,A
STU0059,Grade_10,History,91.8,3.0,76.9,True,A
STU0059,Grade_10,Computer_Science,73.1,3.0,76.9,True,B
STU0060,Grade_11,Math,72.1,2.2,97.6,True,B
STU0060,Grade_11,Science,65.0,2.2,97.6,True,B
STU0060,Grade_11,English,69.8,2.2,97.6,True,B
STU0060,Grade_11,History,72.1,2.2,97.6,True,B
STU0060,Grade_11,Computer_Science,74.3,2.2,97.6,True,B
STU0061,Grade_9,Math,70.0,3.0,86.5,True,B
STU0061,Grade_9,Science,71.1,3.0,86.5,True,B
STU0061,Grade_9,English,68.4,3.0,86.5,True,B
STU0061,Grade_9,History,78.4,3.0,86.5,True,B
STU0061,Grade_9,Computer_Science,70.4,3.0,86.5,True,B
STU0062,Grade_10,Math,80.0,6.0,99.1,True,A
STU0062,Grade_10,Science,92.2,6.0,99.1,True,A
STU0062,Grade_10,English,96.5,6.0,99.1,True,A
STU0062,Grade_10,History,100.0,6.0,99.1,True,A
STU0062,Grade_10,Computer_Science,100.0,6.0,99.1,True,A
STU0063,Grade_11,Math,83.8,6.3,95.7,True,A
STU0063,Grade_11,Science,80.5,6.3,95.7,True,A
STU0063,Grade_11,English,94.3,6.3,95.7,True,A
STU0063,Grade_11,History,99.9,6.3,95.7,True,A
STU0063,Grade_11,Computer_Science,89.0,6.3,95.7,True,A
STU0064,Grade_11,Math,74.0,6.6,68.8,True,B
STU0064,Grade_11,Science,81.7,6.6,68.8,True,A
STU0064,Grade_11,English,88.3,6.6,68.8,True,A
STU0064,Grade_11,History,89.6,6.6,68.8,True,A
STU0064,Grade_11,Computer_Science,86.8,6.6,68.8,True,A
STU0065,Grade_10,Math,83.1,7.6,79.5,True,A
STU0065,Grade_10,Science,77.4,7.6,79.5,True,B
STU0065,Grade_10,English,89.6,7.6,79.5,True,A
STU0065,Grade_10,History,100.0,7.6,79.5,True,A
STU0065,Grade_10,Computer_Science,86.8,7.6,79.5,True,A
STU0066,Grade_11,Math,82.8,7.9,90.4,True,A
STU0066,Grade_11,Science,85.2,7.9,90.4,True,A
STU0066,Grade_11,English,89.0,7.9,90.4,True,A
STU0066,Grade_11,History,99.1,7.9,90.4,True,A
STU0066,Grade_11,Computer_Science,82.3,7.9,90.4,True,A
STU0067,Grade_12,Math,75.1,3.1,86.6,True,B
STU0067,Grade_12,Science,72.6,3.1,86.6,True,B
STU0067,Grade_12,English,74.3,3.1,86.6,True,B
STU0067,Grade_12,History,91.4,3.1,86.6,True,A
STU0067,Grade_12,Computer_Science,73.9,3.1,86.6,True,B
STU0068,Grade_11,Math,89.8,7.1,74.6,True,A
STU0068,Grade_11,Science,94.9,7.1,74.6,True,A
STU0068,Grade_11,English,93.6,7.1,74.6,True,A
STU0068,Grade_11,History,100.0,7.1,74.6,True,A
STU0068,Grade_11,Computer_Science,100.0,7.1,74.6,True,A
STU0069,Grade_12,Math,84.9,7.6,80.6,True,A
STU0069,Grade_12,Science,82.9,7.6,80.6,True,A
STU0069,Grade_12,English,94.2,7.6,80.6,True,A
STU0069,Grade_12,History,100.0,7.6,80.6,True,A
STU0069,Grade_12,Computer_Science,94.6,7.6,80.6,True,A
STU0070,Grade_12,Math,72.9,3.7,66.4,True,B
STU0070,Grade_12,Science,63.7,3.7,66.4,True,C
STU0070,Grade_12,English,83.7,3.7,66.4,True,A
STU0070,Grade_12,History,87.8,3.7,66.4,True,A
STU0070,Grade_12,Computer_Science,69.9,3.7,66.4,True,B
STU0071,Grade_10,Math,52.9,2.6,90.9,True,C
STU0071,Grade_10,Science,61.5,2.6,90.9,True,C
STU0071,Grade_10,English,63.0,2.6,90.9,True,C
STU0071,Grade_10,History,76.8,2.6,90.9,True,B
STU0071,Grade_10,Computer_Science,57.3,2.6,90.9,True,C
STU0072,Grade_10,Math,79.7,6.5,95.1,True,B
STU0072,Grade_10,Science,84.1,6.5,95.1,True,A
STU0072,Grade_10,English,92.2,6.5,95.1,True,A
STU0072,Grade_10,History,93.3,6.5,95.1,True,A
STU0072,Grade_10,Computer_Science,85.7,6.5,95.1,True,A
STU0073,Grade_9,Math,79.1,7.2,69.9,True,B
STU0073,Grade_9,Science,83.2,7.2,69.9,True,A
STU0073,Grade_9,English,96.0,7.2,69.9,True,A
STU0073,Grade_9,History,100.0,7.2,69.9,True,A
STU0073,Grade_9,Computer_Science,94.9,7.2,69.9,True,A
STU0074,Grade_11,Math,95.0,7.3,83.0,True,A
STU0074,Grade_11,Science,87.1,7.3,83.0,True,A
STU0074,Grade_11,English,100.0,7.3,83.0,True,A
STU0074,Grade_11,History,100.0,7.3,83.0,True,A
STU0074,Grade_11,Computer_Science,100.0,7.3,83.0,True,A
STU0075,Grade_9,Math,69.5,4.4,63.8,True,B
STU0075,Grade_9,Science,59.7,4.4,63.8,True,C
STU0075,Grade_9,English,66.7,4.4,63.8,True,B
STU0075,Grade_9,History,79.5,4.4,63.8,True,B
STU0075,Grade_9,Computer_Science,70.8,4.4,63.8,True,B
STU0076,Grade_10,Math,46.1,2.9,62.5,True,D
STU0076,Grade_10,Science,51.7,2.9,62.5,True,C
STU0076,Grade_10,English,62.9,2.9,62.5,True,C
STU0076,Grade_10,History,68.1,2.9,62.5,True,B
STU0076,Grade_10,Computer_Science,50.9,2.9,62.5,True,C
STU0077,Grade_10,Math,75.3,6.7,63.1,True,B
STU0077,Grade_10,Science,78.1,6.7,63.1,True,B
STU0077,Grade_10,English,79.4,6.7,63.1,True,B
STU0077,Grade_10,History,85.6,6.7,63.1,True,A
STU0077,Grade_10,Computer_Science,81.8,6.7,63.1,True,A
STU0078,Grade_12,Math,80.9,6.3,98.8,True,A
STU0078,Grade_12,Science,100.0,6.3,98.8,True,A
STU0078,Grade_12,English,100.0,6.3,98.8,True,A
STU0078,Grade_12,History,100.0,6.3,98.8,True,A
STU0078,Grade_12,Computer_Science,100.0,6.3,98.8,True,A
STU0079,Grade_10,Math,57.7,3.8,68.3,True,C
STU0079,Grade_10,Science,71.3,3.8,68.3,True,B
STU0079,Grade_10,English,66.0,3.8,68.3,True,B
STU0079,Grade_10,History,69.5,3.8,68.3,True,B
STU0079,Grade_10,Computer_Science,71.8,3.8,68.3,True,B
STU0080,Grade_10,Math,78.2,5.0,73.4,True,B
STU0080,Grade_10,Science,85.4,5.0,73.4,True,A
STU0080,Grade_10,English,87.1,5.0,73.4,True,A
STU0080,Grade_10,History,100.0,5.0,73.4,True,A
STU0080,Grade_10,Computer_Science,83.9,5.0,73.4,True,A
STU0081,Grade_9,Math,79.6,5.2,72.5,True,B
STU0081,Grade_9,Science,88.9,5.2,72.5,True,A
STU0081,Grade_9,English,93.4,5.2,72.5,True,A
STU0081,Grade_9,History,97.3,5.2,72.5,True,A
STU0081,Grade_9,Computer_Science,86.7,5.2,72.5,True,A
STU0082,Grade_10,Math,62.9,1.9,64.0,True,C
STU0082,Grade_10,Science,63.8,1.9,64.0,True,C
STU0082,Grade_10,English,75.1,1.9,64.0,True,B
STU0082,Grade_10,History,,1.9,64.0,True,B
STU0082,Grade_10,Computer_Science,61.8,1.9,64.0,True,C
STU0083,Grade_9,Math,80.8,5.3,70.6,True,A
STU0083,Grade_9,Science,79.3,5.3,70.6,True,B
STU0083,Grade_9,English,86.7,5.3,70.6,True,A
STU0083,Grade_9,History,100.0,5.3,70.6,True,A
STU0083,Grade_9,Computer_Science,85.4,5.3,70.6,True,A
STU0084,Grade_9,Math,61.4,5.5,75.5,True,C
STU0084,Grade_9,Science,69.4,5.5,75.5,True,B
STU0084,Grade_9,English,,5.5,75.5,True,A
STU0084,Grade_9,History,90.2,5.5,75.5,True,A
STU0084,Grade_9,Computer_Science,76.8,5.5,75.5,True,B
STU0085,Grade_12,Math,69.3,4.4,72.3,True,B
STU0085,Grade_12,Science,75.4,4.4,72.3,True,B
STU0085,Grade_12,English,80.8,4.4,72.3,True,A
STU0085,Grade_12,History,77.2,4.4,72.3,True,B
STU0085,Grade_12,Computer_Science,76.1,4.4,72.3,True,B
STU0086,Grade_10,Math,77.4,6.1,79.2,True,B
STU0086,Grade_10,Science,86.5,6.1,79.2,True,A
STU0086,Grade_10,English,94.1,6.1,79.2,True,A
STU0086,Grade_10,History,100.0,6.1,79.2,True,A
STU0086,Grade_10,Computer_Science,86.8,6.1,79.2,True,A
STU0087,Grade_9,Math,66.9,5.4,65.0,True,B
STU0087,Grade_9,Science,80.2,5.4,65.0,True,A
STU0087,Grade_9,English,,5.4,65.0,True,A
STU0087,Grade_9,History,85.6,5.4,65.0,True,A
STU0087,Grade_9,Computer_Science,76.7,5.4,65.0,True,B
STU0088,Grade_10,Math,74.9,6.5,79.7,True,B
STU0088,Grade_10,Science,76.5,6.5,79.7,True,B
STU0088,Grade_10,English,94.4,6.5,79.7,True,A
STU0088,Grade_10,History,97.9,6.5,79.7,True,A
STU0088,Grade_10,Computer_Science,81.8,6.5,79.7,True,A
STU0089,Grade_12,Math,85.6,7.4,96.1,True,A
STU0089,Grade_12,Science,96.5,7.4,96.1,True,A
STU0089,Grade_12,English,100.0,7.4,96.1,True,A
STU0089,Grade_12,History,100.0,7.4,96.1,True,A
STU0089,Grade_12,Computer_Science,88.8,7.4,96.1,True,A
STU0090,Grade_9,Math,73.2,4.9,63.5,True,B
STU0090,Grade_9,Science,82.1,4.9,63.5,True,A
STU0090,Grade_9,English,95.8,4.9,63.5,True,A
STU0090,Grade_9,History,92.9,4.9,63.5,True,A
STU0090,Grade_9,Computer_Science,92.3,4.9,63.5,True,A
STU0091,Grade_11,Math,71.4,3.2,63.5,True,B
STU0091,Grade_11,Science,,3.2,63.5,True,C
STU0091,Grade_11,English,79.8,3.2,63.5,True,B
STU0091,Grade_11,History,74.5,3.2,63.5,True,B
STU0091,Grade_11,Computer_Science,74.5,3.2,63.5,True,B
STU0092,Grade_9,Math,81.3,6.1,95.0,True,A
STU0092,Grade_9,Science,84.8,6.1,95.0,True,A
STU0092,Grade_9,English,97.5,6.1,95.0,True,A
